models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
DeepSeek-R1-Distill-Qwen-7B,aime25,0.5,9288.05,137.6,0.6,0.5
DeepSeek-R1-Distill-Qwen-7B,aime25,0.45,10649.2,140,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,aime25,0.45,10603.7,140,0.2,1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.45,10318.25,138.4,0.4,0.5
DeepSeek-R1-Distill-Qwen-7B,aime25,0.45,9340.35,140,0.6,0.75
DeepSeek-R1-Distill-Qwen-7B,aime25,0.45,9983.7,140,0.8,1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,11214.55,140,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,10415.15,140,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,9904.8,140,0.4,0.75
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,10142.65,140,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,9924.25,140,0.6,1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,10381.35,139.8,0.8,0.25
DeepSeek-R1-Distill-Qwen-7B,aime25,0.4,11420.15,140,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,aime25,0.35,10424.6,140,0.4,1
DeepSeek-R1-Distill-Qwen-7B,aime25,0.35,11580.5,140,0.8,0.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4857.166667,56,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4000.366667,56,0.8,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4797.4,56,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4916.266667,83.7,0.4,0.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4444.066667,55.9,0.4,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4527.866667,139.9,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4148.9,56,0.6,0.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4483.1,56,0.6,0.75
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5127.366667,56,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4857.433333,84,0.4,0.25
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5408.166667,55.8,0.8,0.25
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4866.4,55.8,0.8,0.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5140.466667,55.9,0.4,0.75
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5098,83.4,0.6,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,4975.433333,55.8,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,amc23,0.766666667,6415.7,56,0.2,1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.799331104,534.9698997,113.277592,0.6,0.75
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.79264214,615.3478261,108.916388,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.79264214,569.5986622,112.3712375,0.4,1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.789297659,594.8896321,113.6588629,0.8,0.5
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.785953177,589.7257525,104.2541806,0.4,0.5
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.785953177,571.5351171,110.6755853,0.6,0.5
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.782608696,586.2474916,107.4749164,0.2,1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.779264214,602.3411371,111.9899666,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.775919732,582.5050167,108.0301003,0.4,0.75
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.775919732,620.7324415,110.7491639,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.772575251,598.826087,108.5953177,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.772575251,599.1036789,113.9665552,0.8,0.25
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.769230769,542.1270903,105.2876254,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.762541806,571.7391304,102.735786,0.6,1
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.752508361,603.5953177,115.8561873,0.4,0.25
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.745819398,554.4448161,113.3979933,0.8,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8125,3106.7775,137.875,0.4,0.75
DeepSeek-R1-Distill-Qwen-7B,math500,0.81,2761.625,135.97,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,math500,0.81,2940.795,136.9475,0.6,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.805,3045.94,137.8825,0.4,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2882.22,134.89,0.2,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2917.5375,137.335,0.4,0.25
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,3093.7175,134.4275,0.4,0.5
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2794.325,137.445,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,3094.2025,136.3925,0.6,0.5
DeepSeek-R1-Distill-Qwen-7B,math500,0.7975,2844.3675,135.0575,0.8,0.25
DeepSeek-R1-Distill-Qwen-7B,math500,0.795,3099.9,138.2925,0.6,0.75
DeepSeek-R1-Distill-Qwen-7B,math500,0.7925,3043.9,135.035,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,math500,0.78,3013.2475,135.8375,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,math500,0.78,2811.3175,136.64,0.8,0.5
DeepSeek-R1-Distill-Qwen-7B,math500,0.7775,2609.965,133.505,0.8,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.7425,1788.615,131.6325,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.752,591.35,115.184,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.746,578.962,114.478,0.4,0.5
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.738,592.712,119.304,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.738,579.814,115.346,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.736,590.498,120.438,0.2,1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.736,594.12,114.75,0.4,0.25
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.734,585.608,122.874,0.8,0.25
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.732,374.804,90.822,0.6,1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.73,569.738,104.098,0.4,0.75
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.73,586.406,111.266,0.6,0.25
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.718,460.024,101.984,0.4,1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.71,493.59,111.14,0.8,1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.704,569.924,113.424,0.6,0.5
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.704,491.56,107.152,0.6,0.75
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.7,481.07,106.622,0.8,0.75
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.698,489.166,109.338,0.8,0.5
Qwen2.5-3B-Instruct,aime_2024,0.2,1264.45,81,0.6,0.75
Qwen2.5-3B-Instruct,aime_2024,0.1,2061.35,80.4,0.2,0.25
Qwen2.5-3B-Instruct,aime_2024,0.1,3051.4,76.8,0.2,0.5
Qwen2.5-3B-Instruct,aime_2024,0.1,2038.4,103.2,0.2,0.75
Qwen2.5-3B-Instruct,aime_2024,0.1,2045.1,82.8,0.2,1
Qwen2.5-3B-Instruct,aime_2024,0.1,2136.05,79.2,0.4,0.25
Qwen2.5-3B-Instruct,aime_2024,0.1,2774.45,78,0.4,0.5
Qwen2.5-3B-Instruct,aime_2024,0.1,2694.05,73.8,0.4,0.75
Qwen2.5-3B-Instruct,aime_2024,0.1,2674.05,81.6,0.4,1
Qwen2.5-3B-Instruct,aime_2024,0.1,2443.15,80.4,0.6,0.25
Qwen2.5-3B-Instruct,aime_2024,0.1,1628.35,82.2,0.6,0.5
Qwen2.5-3B-Instruct,aime_2024,0.1,1509.7,110.4,0.6,1
Qwen2.5-3B-Instruct,aime_2024,0.1,2502.35,81,0.8,0.25
Qwen2.5-3B-Instruct,aime_2024,0.1,5043.25,106.4,0.8,0.5
Qwen2.5-3B-Instruct,aime_2024,0.1,1817.65,80.4,0.8,0.75
Qwen2.5-3B-Instruct,aime_2024,0.1,2577.45,80.25,0.8,1
Qwen2.5-3B-Instruct,aime25,0.15,1023.1,108.4,0.4,0.75
Qwen2.5-3B-Instruct,aime25,0.1,1807.8,108,0.2,0.25
Qwen2.5-3B-Instruct,aime25,0.05,1738.65,110.4,0.2,0.5
Qwen2.5-3B-Instruct,aime25,0.05,1723.6,106.4,0.4,0.25
Qwen2.5-3B-Instruct,aime25,0.05,2326.5,112,0.6,1
Qwen2.5-3B-Instruct,aime25,0,999.6,109.3,0.2,0.75
Qwen2.5-3B-Instruct,aime25,0,1079.4,111.2,0.2,1
Qwen2.5-3B-Instruct,aime25,0,2579.2,100.8,0.4,0.5
Qwen2.5-3B-Instruct,aime25,0,1006.35,108.8,0.4,1
Qwen2.5-3B-Instruct,aime25,0,981.4,105.6,0.6,0.25
Qwen2.5-3B-Instruct,aime25,0,1051.65,106.4,0.6,0.5
Qwen2.5-3B-Instruct,aime25,0,1767.7,106.4,0.6,0.75
Qwen2.5-3B-Instruct,aime25,0,1727.2,106.4,0.8,0.25
Qwen2.5-3B-Instruct,aime25,0,3319.9,83.6,0.8,0.5
Qwen2.5-3B-Instruct,aime25,0,1055.55,107.2,0.8,0.75
Qwen2.5-3B-Instruct,aime25,0,1820.55,106.4,0.8,1
Qwen2.5-3B-Instruct,amc23,0.566666667,1432,127.0666667,0.4,0.25
Qwen2.5-3B-Instruct,amc23,0.533333333,1433.633333,130.6,0.4,0.75
Qwen2.5-3B-Instruct,amc23,0.533333333,923.1666667,129.0666667,0.6,0.25
Qwen2.5-3B-Instruct,amc23,0.5,913.9333333,125.8666667,0.8,0.25
Qwen2.5-3B-Instruct,amc23,0.5,987.7666667,128.4,0.8,0.75
Qwen2.5-3B-Instruct,amc23,0.5,1314.366667,122.5333333,0.8,1
Qwen2.5-3B-Instruct,amc23,0.466666667,1105.2,129.3333333,0.4,1
Qwen2.5-3B-Instruct,amc23,0.466666667,1078.233333,128.6666667,0.6,0.5
Qwen2.5-3B-Instruct,amc23,0.433333333,875.7333333,125.6,0.2,0.25
Qwen2.5-3B-Instruct,amc23,0.433333333,1379.766667,133.3333333,0.2,1
Qwen2.5-3B-Instruct,amc23,0.433333333,937.2666667,129,0.4,0.5
Qwen2.5-3B-Instruct,amc23,0.433333333,1412.266667,129.8666667,0.6,0.75
Qwen2.5-3B-Instruct,amc23,0.433333333,1466.533333,128.5333333,0.6,1
Qwen2.5-3B-Instruct,amc23,0.4,1441.433333,129.3333333,0.2,0.75
Qwen2.5-3B-Instruct,amc23,0.4,2504.333333,136.2666667,0.8,0.5
Qwen2.5-3B-Instruct,amc23,0.366666667,947.1666667,125.2,0.2,0.5
